s0001,1,90,90,90,90,90
s0002,1,71,68,67,97,64
s0003,1,85,96,90,89,58
s0004,1,99,71,86,52,75
s0005,1,91,83,92,99,96
s0006,1,68,98,77,80,63
s0007,1,60,90,88,55,54
s0008,1,84,58,54,99,85
s0009,1,71,92,80,69,92
s0010,1,96,54,73,99,60
s0011,1,53,94,76,89,67
s0012,1,64,97,93,50,83
s0013,1,50,90,64,70,80
s0014,1,79,92,56,69,56
s0015,1,82,84,74,93,56
s0016,1,57,64,74,63,58
s0017,1,54,95,86,50,64
s0018,1,92,68,61,96,91
s0019,1,81,100,98,92,57
s0020,1,75,66,64,83,72
s0021,1,92,99,60,62,89
s0022,1,58,60,87,80,79
s0023,1,100,75,99,66,96
s0024,1,67,95,61,99,75
s0025,1,50,85,80,67,63
s0026,1,96,67,85,55,93
s0027,1,80,56,72,88,95
s0028,1,68,86,78,78,58
s0029,1,93,100,60,51,52
s0030,1,51,64,64,77,93
s0031,1,53,81,88,62,100
s0032,1,70,81,64,65,73
s0033,1,82,91,81,64,82
s0034,1,100,75,83,58,95
s0035,1,71,83,80,73,93
s0036,1,54,64,50,98,54
s0037,1,88,78,63,100,82
s0038,1,88,68,85,54,96
s0039,1,55,80,78,97,87
s0040,1,80,76,77,74,50
s0041,1,81,59,55,83,89
s0042,1,77,96,69,80,89
s0043,1,58,90,77,67,54
s0044,1,71,91,93,75,70
s0045,1,68,68,76,59,81
s0046,1,74,99,100,66,92
s0047,1,100,57,71,79,56
s0048,1,86,59,53,92,81
s0049,1,91,89,100,73,80
s0050,1,57,51,94,95,71
s0051,1,94,91,83,92,56
s0052,1,64,55,53,88,92
s0053,1,52,75,64,50,66
s0054,1,89,88,64,99,54
s0055,1,51,80,52,57,54
s0056,1,94,80,65,97,51
s0057,1,97,54,91,52,57
s0058,1,68,75,85,70,82
s0059,1,85,73,70,60,89
s0060,1,87,90,51,73,87
s0061,1,52,88,59,96,69
s0062,1,55,97,51,54,95
s0063,1,100,91,53,62,94
s0064,1,95,85,70,55,95
s0065,1,82,75,83,100,65
s0066,1,71,81,75,54,76
s0067,1,96,95,86,98,67
s0068,1,51,71,85,77,68
s0069,1,99,71,64,78,78
